# W0 [GeV]	Sigma_muLHC@5.3 TeV [pb]	Sigma_muLHC@7.5 TeV [pb]
8.17613919e+02	4.83681020e-05	2.64824200e-05
8.20205118e+02	4.74757899e-05	2.59656658e-05
8.22804528e+02	4.66130807e-05	2.54792153e-05
8.25412177e+02	4.57476373e-05	2.49912231e-05
8.28028090e+02	4.48794512e-05	2.45016843e-05
8.30652293e+02	4.40085136e-05	2.40105942e-05
8.33284813e+02	4.31410335e-05	2.35219207e-05
8.35925676e+02	4.22970360e-05	2.30484604e-05
8.38574908e+02	4.14503637e-05	2.25734996e-05
8.41232537e+02	4.06010081e-05	2.20970336e-05
8.43898588e+02	3.97489607e-05	2.16190576e-05
8.46573088e+02	3.89060613e-05	2.11506823e-05
8.49256065e+02	3.80804673e-05	2.06995639e-05
8.51947544e+02	3.72522568e-05	2.02470158e-05
8.54647553e+02	3.64214216e-05	1.97930335e-05
8.57356119e+02	3.55879532e-05	1.93376125e-05
8.60073270e+02	3.47690139e-05	1.88807481e-05
8.62799031e+02	3.39613529e-05	1.84224357e-05
8.65533431e+02	3.31511324e-05	1.79626709e-05
8.68276497e+02	3.23383440e-05	1.75014490e-05
8.71028257e+02	3.15229798e-05	1.70387654e-05
8.73788737e+02	3.07277262e-05	1.65964162e-05
8.76557966e+02	2.99381761e-05	1.61605650e-05
8.79335971e+02	2.91461237e-05	1.57233324e-05
8.82122780e+02	2.83515612e-05	1.52847142e-05
8.84918421e+02	2.75544806e-05	1.48447060e-05
8.87722923e+02	2.67826179e-05	1.44206048e-05
8.90536312e+02	2.60108862e-05	1.39967667e-05
8.93358617e+02	2.52367087e-05	1.35715854e-05
8.96189868e+02	2.44600776e-05	1.31450566e-05
8.99030090e+02	2.36838301e-05	1.27189610e-05
9.01879315e+02	2.29319711e-05	1.23083615e-05
9.04737569e+02	2.21777292e-05	1.18964607e-05
9.07604881e+02	2.14210970e-05	1.14832544e-05
9.10481281e+02	2.06620669e-05	1.10687387e-05
9.13366796e+02	1.99087364e-05	1.06579611e-05
9.16261457e+02	1.91742331e-05	1.02591047e-05
9.19165291e+02	1.84374020e-05	9.85898415e-06
9.22078328e+02	1.76982358e-05	9.45759555e-06
9.25000597e+02	1.69567270e-05	9.05493487e-06
9.27932128e+02	1.62259911e-05	8.65912869e-06
9.30872949e+02	1.55085208e-05	8.27172192e-06
9.33823090e+02	1.47887767e-05	7.88308737e-06
9.36782581e+02	1.40667516e-05	7.49322116e-06
9.39751451e+02	1.33424382e-05	7.10211937e-06
9.42729731e+02	1.26336808e-05	6.72085620e-06
9.45717449e+02	1.19328045e-05	6.34466939e-06
9.48714635e+02	1.12297070e-05	5.96729035e-06
9.51721321e+02	1.05243812e-05	5.58871532e-06
9.54737535e+02	9.81682007e-06	5.20894050e-06
9.57763309e+02	9.12956871e-06	4.84187093e-06
9.60798671e+02	8.44512467e-06	4.47671272e-06
9.63843654e+02	7.75851147e-06	4.11039724e-06
9.66898287e+02	7.06972224e-06	3.74292083e-06
9.69962600e+02	6.37875009e-06	3.37427980e-06
