# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]	Sigma_FCCmuh [pb]
6.16207545e+02	2.34173228e-06	1.04369020e-04	5.13577880e-04
6.17485385e+02	2.30144073e-06	1.03503413e-04	5.09957197e-04
6.18765874e+02	2.26106563e-06	1.02636011e-04	5.06329006e-04
6.20049019e+02	2.22060680e-06	1.01766810e-04	5.02693292e-04
6.21334825e+02	2.18006408e-06	1.00895806e-04	4.99050038e-04
6.22623297e+02	2.13943728e-06	1.00022997e-04	4.95399229e-04
6.23914442e+02	2.10090412e-06	9.91717967e-05	4.91819776e-04
6.25208263e+02	2.06474746e-06	9.83452460e-05	4.88321920e-04
6.26504768e+02	2.02851582e-06	9.75169813e-05	4.84816810e-04
6.27803961e+02	1.99220904e-06	9.66869990e-05	4.81304432e-04
6.29105849e+02	1.95582698e-06	9.58552955e-05	4.77784770e-04
6.30410436e+02	1.91936947e-06	9.50218674e-05	4.74257809e-04
6.31717728e+02	1.88283635e-06	9.41867109e-05	4.70723534e-04
6.33027732e+02	1.84669388e-06	9.33550858e-05	4.67199904e-04
6.34340452e+02	1.81428663e-06	9.25647331e-05	4.63815792e-04
6.35655894e+02	1.78181217e-06	9.17727414e-05	4.60424663e-04
6.36974064e+02	1.74927037e-06	9.09791074e-05	4.57026502e-04
6.38294968e+02	1.71666109e-06	9.01838277e-05	4.53621293e-04
6.39618611e+02	1.68398419e-06	8.93868987e-05	4.50209024e-04
6.40944999e+02	1.65123952e-06	8.85883171e-05	4.46789678e-04
6.42274137e+02	1.61842695e-06	8.77880795e-05	4.43363241e-04
6.43606031e+02	1.58848920e-06	8.70211953e-05	4.40106399e-04
6.44940688e+02	1.55948100e-06	8.62645188e-05	4.36902343e-04
6.46278112e+02	1.53041264e-06	8.55062731e-05	4.33691642e-04
6.47618309e+02	1.50128400e-06	8.47464550e-05	4.30474284e-04
6.48961286e+02	1.47209496e-06	8.39850613e-05	4.27250253e-04
6.50307048e+02	1.44284539e-06	8.32220886e-05	4.24019537e-04
6.51655600e+02	1.41353516e-06	8.24575338e-05	4.20782122e-04
6.53006949e+02	1.38555729e-06	8.17089437e-05	4.17537993e-04
6.54361101e+02	1.35972940e-06	8.09866166e-05	4.14287136e-04
6.55718060e+02	1.33384795e-06	8.02627916e-05	4.11029538e-04
6.57077833e+02	1.30791283e-06	7.95374656e-05	4.07765185e-04
6.58440427e+02	1.28192393e-06	7.88106355e-05	4.04494063e-04
6.59805845e+02	1.25588114e-06	7.80822982e-05	4.01216157e-04
6.61174096e+02	1.22978434e-06	7.73524504e-05	3.97931453e-04
6.62545183e+02	1.20371922e-06	7.66222227e-05	3.94646050e-04
6.63919114e+02	1.18080844e-06	7.59328675e-05	3.91582383e-04
6.65295894e+02	1.15785015e-06	7.52420827e-05	3.88512362e-04
6.66675529e+02	1.13484425e-06	7.45498654e-05	3.85435975e-04
6.68058025e+02	1.11179064e-06	7.38562127e-05	3.82353209e-04
6.69443388e+02	1.08868922e-06	7.31611215e-05	3.79264050e-04
6.70831624e+02	1.06553990e-06	7.24645889e-05	3.76168484e-04
6.72222739e+02	1.04234258e-06	7.17666119e-05	3.73066500e-04
6.73616738e+02	1.02109644e-06	7.10953616e-05	3.70057890e-04
6.75013628e+02	1.00081442e-06	7.04369265e-05	3.67093371e-04
6.76413415e+02	9.80490349e-07	6.97771261e-05	3.64122705e-04
6.77816105e+02	9.60124129e-07	6.91159574e-05	3.61145879e-04
6.79221703e+02	9.39715676e-07	6.84534177e-05	3.58162880e-04
6.80630217e+02	9.19264901e-07	6.77895040e-05	3.55173694e-04
6.82041651e+02	8.98771717e-07	6.71242136e-05	3.52178310e-04
6.83456012e+02	8.79066439e-07	6.64699221e-05	3.49221131e-04
6.84873306e+02	8.61223861e-07	6.58426497e-05	3.46359635e-04
6.86293539e+02	8.43344281e-07	6.52140765e-05	3.43492207e-04
6.87716717e+02	8.25427625e-07	6.45841999e-05	3.40618831e-04
6.89142847e+02	8.07473815e-07	6.39530170e-05	3.37739498e-04
6.90571934e+02	7.89482773e-07	6.33205253e-05	3.34854193e-04
6.92003984e+02	7.71454423e-07	6.26867219e-05	3.31962905e-04
6.93439004e+02	7.53388688e-07	6.20516043e-05	3.29065621e-04
6.94877000e+02	7.38594562e-07	6.14518343e-05	3.26296397e-04
6.96317978e+02	7.23970269e-07	6.08530422e-05	3.23529555e-04
6.97761944e+02	7.09315650e-07	6.02530084e-05	3.20756975e-04
6.99208904e+02	6.94630641e-07	5.96517303e-05	3.17978645e-04
7.00658866e+02	6.79915179e-07	5.90492053e-05	3.15194554e-04
7.02111833e+02	6.65169202e-07	5.84454309e-05	3.12404689e-04
7.03567814e+02	6.50392645e-07	5.78404044e-05	3.09609039e-04
7.05026814e+02	6.35585447e-07	5.72560654e-05	3.06888153e-04
7.06488840e+02	6.20747542e-07	5.66862987e-05	3.04219575e-04
7.07953898e+02	6.05878868e-07	5.61153504e-05	3.01545463e-04
7.09421993e+02	5.90979360e-07	5.55432182e-05	2.98865807e-04
7.10893134e+02	5.76048955e-07	5.49698995e-05	2.96180593e-04
7.12367324e+02	5.61087588e-07	5.43953920e-05	2.93489811e-04
7.13844572e+02	5.46095196e-07	5.38196930e-05	2.90793448e-04
7.15324884e+02	5.31963047e-07	5.32507873e-05	2.88121415e-04
7.16808265e+02	5.20949524e-07	5.27089099e-05	2.85549511e-04
7.18294722e+02	5.09913163e-07	5.21659088e-05	2.82972274e-04
7.19784261e+02	4.98853915e-07	5.16217816e-05	2.80389692e-04
7.21276890e+02	4.87771733e-07	5.10765261e-05	2.77801754e-04
7.22772614e+02	4.76666571e-07	5.05301399e-05	2.75208450e-04
7.24271439e+02	4.65538379e-07	4.99826206e-05	2.72609768e-04
7.25773373e+02	4.54387110e-07	4.94339659e-05	2.70005697e-04
7.27278421e+02	4.43212717e-07	4.89276336e-05	2.67561671e-04
7.28786590e+02	4.32015151e-07	4.84273456e-05	2.65139584e-04
